food,foodon_iri,foodex_iri,foodex_embed_avail
"00910 - wheat flour, brown (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540091,A004A,True
00920 - wheat wholemeal flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540092,A004B,True
"00930 - wheat flour, durum (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540093,A004C,True
00940 - chapatti flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540094,A004D,True
00950 - cereal and cereal-like flours not separately listed (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540095,A04KT,True
00960 - groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540096,A0BY1,True
00970 - barley groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540097,A065N,True
00980 - buckwheat groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540098,A002H,True
00990 - millet groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540099,A002V,True
01000 - oat groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540100,A002Z,True
01010 - rye groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540101,A003P,True
01020 - wheat groats (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540102,A004E,True
01030 - bulgur (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540103,A004G,True
01040 - semolina (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540104,A0ETL,True
01050 - maize semolina (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540105,A002N,True
01060 - wheat semolina (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540106,A004F,True
01070 - rice semolina (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540107,A0F6Q,True
01080 - cereal bran (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540108,A002C,True
01090 - oat bran (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540109,A003B,True
01100 - rye bran (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540110,A003Q,True
01110 - wheat bran (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540111,A004P,True
01120 - rice bran (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540112,A0F6P,True
01130 - cereal germ (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540113,A0ETN,True
01140 - maize germ (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540114,A016K,True
01150 - wheat germ (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540115,A004Q,True
01160 - bread and similar products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540116,A004V,True
01170 - leavened bread and similar (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540117,A0BY0,True
01180 - wheat bread and rolls (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540118,A004X,True
"01190 - wheat bread and rolls, white (refined flour) (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540119,A004Y,True
"01200 - wheat bread and rolls, white with maize (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540120,A004Z,True
"01210 - wheat bread and rolls, white with potato (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540121,A005A,True
"01220 - wheat bread and rolls, white with rice (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540122,A005B,True
"01230 - wheat bread and rolls, white with soya (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540123,A005C,True
"01240 - wheat bread and rolls, semi-brown (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540124,A005D,True
"01250 - wheat bread and rolls, brown or wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540125,A005E,True
01260 - rye only bread and rolls (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540126,A005F,True
"01270 - rye bread, refined flour (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540127,A005G,True
"01280 - rye bread, wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540128,A005H,True
01290 - pumpernickel (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540129,A005J,True
01300 - bread and rolls with special ingredients added (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540130,A005K,True
01310 - sandwich bread (hamburger roll-type) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540131,A0BB2,True
01320 - single grain bread and rolls (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540132,A04KY,False
01330 - multigrain bread and rolls (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540133,A005L,True
01340 - mixed wheat and rye bread and rolls (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540134,A005M,True
"01350 - rye-wheat bread, refined flour (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540135,A005N,True
"01360 - rye-wheat bread, wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540136,A005P,True
01370 - multigrain (not only rye-wheat) bread and rolls (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540137,A005Q,True
01380 - unleavened or flat bread and similar (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540138,A04KZ,True
"01390 - pizza base, cooked (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540139,A006Q,True
01400 - traditional unleavened breads (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540140,A006R,True
01410 - pita bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540141,A006S,True
01420 - matzo (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540142,A006T,True
01430 - tortilla (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540143,A006V,True
01440 - roti (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540144,A006X,True
01450 - chapati (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540145,A006Y,True
01460 - fried bread dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540146,A16FX,False
01470 - crackers and breadsticks (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540147,A005Y,True
"01480 - sticks, salty (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540148,A00FG,True
01490 - crisp bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540149,A0CHT,True
01500 - rye crisp bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540150,A006A,True
"01510 - crisp bread, rye wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540151,A006B,True
"01520 - crisp bread, rye, refined flour (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540152,A006C,True
01530 - wheat crisp bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540153,A006D,True
"01540 - crisp bread, wheat, wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540154,A006E,True
"01550 - crisp bread, wheat, refined flour (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540155,A006F,True
"01560 - extruded, pressed or puffed bread (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540156,A005Z,True
01570 - extruded rice bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540157,A006G,True
01580 - puffed cereals textured bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540158,A006H,True
01590 - puffed wheat textured bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540159,A006J,True
01600 - puffed rice textured bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540160,A006K,True
01610 - puffed corn textured bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540161,A006L,True
01620 - rusk (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540162,A006M,True
"01630 - rusk, refined flour (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540163,A006N,True
"01640 - rusk, wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540164,A006P,True
01650 - bread alternative (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540165,A0ERB,True
01660 - gluten free bread (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540166,A005R,True
"01670 - gluten free bread, white (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540167,A005S,True
"01680 - gluten free bread, brown (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540168,A005T,True
01690 - pretzels (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540169,A005V,True
01700 - additional bread products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540170,A006Z,True
01710 - breadcrumbs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540171,A007A,True
01720 - croutons (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540172,A007B,True
01730 - bread stuffing (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540173,A007C,True
"01740 - pasta, doughs and similar products (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540174,A04QT,False
01750 - pasta and similar products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540175,A007D,True
"01760 - pasta, plain (not stuffed), uncooked (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540176,A007E,True
01770 - pasta wholemeal (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540177,A04LC,True
01780 - fresh pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540178,A007F,True
01790 - fresh egg pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540179,A007G,True
01800 - fresh durum pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540180,A007J,True
01810 - dried pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540181,A007L,True
01820 - dried egg pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540182,A007M,True
01830 - dried durum pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540183,A007P,True
01840 - filled (stuffed) pastas (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540184,A0ERE,True
01850 - fresh stuffed pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540185,A007T,True
01860 - fresh stuffed egg pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540186,A007V,True
01870 - fresh stuffed durum pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540187,A007X,True
01880 - dried stuffed pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540188,A007Y,True
01890 - dried stuffed egg pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540189,A007Z,True
01900 - dried stuffed durum pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540190,A008A,True
01910 - pasta-like products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540191,A04LF,True
"01920 - pasta, gluten free (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540192,A008B,True
01930 - gnocchi (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540193,A008D,True
01940 - glass noodle (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540194,A008E,True
"01950 - noodle, rice (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540195,A008F,True
01960 - couscous (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540196,A008C,True
01970 - asian-style noodles other than glass noodles (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540197,A007R,True
01980 - raw doughs and pre-mixes (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540198,A008G,True
01990 - yeast leavened bread doughs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540199,A008H,True
02000 - yeast bread  pizza dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540200,A008J,True
02010 - naturally leavened bread dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540201,A008K,True
02020 - yeast leavened sweet doughs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540202,A008L,True
02030 - fine yeast sweet dough (brioche) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540203,A008M,True
02040 - ingredient-rich yeast dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540204,A008N,True
02050 - chemically leavened doughs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540205,A008P,True
02060 - quick bread dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540206,A008Q,True
02070 - ingredient rich fine dough without yeast (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540207,A008R,True
02080 - waffle dough/mixture (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540208,A008V,True
02090 - unleavened doughs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540209,A008T,True
02100 - short pastry dough and similar (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540210,A008X,True
02110 - short pastry dough (pate brisee) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540211,A008Y,True
02120 - fine dough without yeast (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540212,A008Z,True
02130 - french pie pastry dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540213,A009A,True
"02140 - short sweet pastry doughs (pate sucree, sablee) (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540214,A009B,True
02150 - short sweet pastry dough (pate sucree) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540215,A009C,True
02160 - shortbread pastry (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540216,A009D,True
02170 - piped shortbread pastry (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540217,A009E,True
02180 - sweet almond pastry mass (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540218,A009F,True
02190 - choux pastry dough and similar (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540219,A009G,True
02200 - choux pastry dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540220,A009H,True
02210 - cake pre-mixes/batter (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540221,A009J,True
02220 - sponge cake dough (génoise) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540222,A009K,True
02230 - mixture/mass for baumkuchen (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540223,A008S,True
02240 - laminated doughs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540224,A009L,True
02250 - common laminated dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540225,A009M,True
02260 - strudel dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540226,A009N,True
02270 - phyllo dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540227,A16FH,False
02280 - miscellaneous doughs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540228,A009P,True
02290 - gingerbread dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540229,A009Q,True
02300 - quark oil dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540230,A009R,True
02310 - suet pastry (pâte a grasse de boeuf) dough (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540231,A009S,True
02320 - pre-mixes (dry) for baked products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540232,A0CSK,True
02330 - bread pre-mixes (dry) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540233,A0CSL,True
02340 - cake pre-mixes (dry) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540234,A0CSM,True
02350 - pancake pre-mixes (dry) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540235,A0CSN,True
02360 - fine bakery wares (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540236,A009T,True
02370 - biscuits (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540237,A009V,True
"02380 - biscuits, sweet, plain (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540238,A009X,True
02390 - butter biscuits (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540239,A009Y,True
"02400 - biscuits, chocolate (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540240,A009Z,True
"02410 - biscuits, sweet, wheat wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540241,A00AA,True
"02420 - biscuits, oat meal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540242,A00AB,True
"02430 - biscuits, spelt meal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540243,A00AC,True
02440 - speculaas (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540244,A00AD,True
02450 - sponge biscuits (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540245,A16FJ,False
"02460 - biscuit with inclusions, filling or coating (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540246,A00AE,True
02470 - wafers (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540247,A0BYR,True
02480 - choux pastry (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540248,A00AG,True
02490 - éclair (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540249,A00AH,True
02500 - beignets (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540250,A00AJ,True
02510 - profiterole (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540251,A00AK,True
02520 - croquembouche (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540252,A00AL,True
02530 - gougere (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540253,A00AM,True
02540 - cakes (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540254,A00AN,True
02550 - plain cakes (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540255,A00AP,True
02560 - sponge cake (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540256,A00AQ,True
02570 - sponge cake roll (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540257,A00BB,True
02580 - cream cake (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540258,A00AV,True
02590 - cream custard cake (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540259,A00AX,True
02600 - cream custard sponge cake (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540260,A00AY,True
02610 - nut cream cake (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540261,A00AZ,True
02620 - cheese cake (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540262,A00AR,True
